CLASS 2,EXPENSES,,,,,,,,,,,,,,,,,,
CLASS 3,ASSETS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-SubProgramme: Group of related interventions/outputs contributing to Programme,,,,,,,,,,,,,,,,,,,
Outcomes.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Department: Administrative units within the institutions that implement activities.,,,,,,,,,,,,,,,,,,,
Thousand Uganda Shillings,2021/22 Approved Estimates,,,,,,,,,,,,,,,,,,
Programme 18 Development Plan Implementation,,,,,,,,,,,,,,,,,,,
,GoU,External Fin,Total,,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
Programme 15 Governance and Security,,,,,,,,,,,,,,,,,,,
,GoU,External Fin,Total,,,,,,,,,,,,,,,,
,"3,944,765",0,"3,944,765",,,,,,,,,,,,,,,,
,"49,005,165",0,"49,005,165",,,,,,,,,,,,,,,,
,"10,036,154",0,"10,036,154",,,,,,,,,,,,,,,,
,"71,015,444",0,"71,015,444",,,,,,,,,,,,,,,,
,"134,001,528",0,"134,001,528",,,,,,,,,,,,,,,,
,"124,115,409",0,"124,115,409",,,,,,,,,,,,,,,,
,"141,524,564",0,"141,524,564",,,,,,,,,,,,,,,,
,"131,638,445",0,"131,638,445",,,,,,,,,,,,,,,,
Thousand Uganda Shillings,2020/21 Approved Budget,,,,2021/22 Approved Estimates,,,,,,,,,,,,,,
"Sub-SubProgramme 01 Oversight, Monitoring and Evaluation & Inspectionof policies and programs",,,,,,,,,,,,,,,,,,,
Recurrent Budget Estimates,Wage,Non-Wage,AIA,Total,Wage,Non-Wage,Total,,,,,,,,,,,,
0,"400,000","400,000",,,,,,,,,,,,,,,,,
0,"400,000","400,000",,,,,,,,,,,,,,,,,
0,"120,000","120,000",,,,,,,,,,,,,,,,,
"53,673","2,800,123","2,853,796",,,,,,,,,,,,,,,,,
"53,673","2,800,123","2,853,796",,,,,,,,,,,,,,,,,
"53,673","2,800,123","2,853,796",,,,,,,,,,,,,,,,,
"53,673","2,800,123","2,853,796",,,,,,,,,,,,,,,,,
"41,000",0,"41,000",,,,,,,,,,,,,,,,,
0,"321,199","321,199",,,,,,,,,,,,,,,,,
0,"8,000","8,000",,,,,,,,,,,,,,,,,
0,"87,700","87,700",,,,,,,,,,,,,,,,,
0,"30,000","30,000",,,,,,,,,,,,,,,,,
0,"8,760","8,760",,,,,,,,,,,,,,,,,
0,"72,000","72,000",,,,,,,,,,,,,,,,,
0,"68,128","68,128",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"6,920","6,920",,,,,,,,,,,,,,,,,
0,"2,427","2,427",,,,,,,,,,,,,,,,,
0,"2,023","2,023",,,,,,,,,,,,,,,,,
0,"296,323","296,323",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"123,600","123,600",,,,,,,,,,,,,,,,,
0,"10,000","10,000",,,,,,,,,,,,,,,,,
"41,000","1,037,080","1,078,080",,,,,,,,,,,,,,,,,
"334,386","3,610,379","3,944,765",,,,,,,,,,,,,,,,,
"334,386","3,610,379","3,944,765",,,,,,,,,,,,,,,,,
"334,386","3,610,379","3,944,765",,,,,,,,,,,,,,,,,
0,"29,468,077","29,468,077",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"7,835,068","7,835,068",,,,,,,,,,,,,,,,,
0,"5,552,748","5,552,748",,,,,,,,,,,,,,,,,
0,"174,000","174,000",,,,,,,,,,,,,,,,,
0,"2,516,400","2,516,400",,,,,,,,,,,,,,,,,
0,"2,576,800","2,576,800",,,,,,,,,,,,,,,,,
0,"3,311,667","3,311,667",,,,,,,,,,,,,,,,,
0,"500,000","500,000",,,,,,,,,,,,,,,,,
0,"120,149","120,149",,,,,,,,,,,,,,,,,
0,"160,000","160,000",,,,,,,,,,,,,,,,,
0,"1,100,000","1,100,000",,,,,,,,,,,,,,,,,
0,"2,560,000","2,560,000",,,,,,,,,,,,,,,,,
0,"3,061,244","3,061,244",,,,,,,,,,,,,,,,,
0,"2,187,633","2,187,633",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"2,187,633","2,187,633",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"1,800,000","1,800,000",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"7,060,000","7,060,000",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"4,925,720","4,925,720",,,,,,,,,,,,,,,,,
